================================================================================
                          STRATEGY BACKTEST REPORT                              
================================================================================
Initial Balance:  $   1000.00
Final Balance:    $-632231.83
Net Profit/Loss:  $-633231.83 (-63323.18%)
Win Rate:         29.58%
Max Drawdown:     63323.18%
Total Trades:     524
================================================================================

DETAILED TRADE LOG:
--------------------------------------------------------------------------------
ID    Side   Entry Time         Entry Index   Entry Price   Exit Time          Exit Index   Exit Price   PnL
84    LONG   2026-01-11 01:00   36545         90743.55      2026-01-11 04:00   37350        90732.50     -110.50
85    LONG   2026-01-11 05:00   37639         90736.36      2026-01-11 08:00   38456        90855.30     +1189.40
86    LONG   2026-01-11 09:00   38735         91122.56      2026-01-11 10:00   39015        90877.88     -2446.80
87    LONG   2026-01-11 11:00   39296         91037.00      2026-01-11 12:00   39578        90986.07     -509.30
88    LONG   2026-01-11 13:00   39875         90883.71      2026-01-11 14:00   40145        90691.00     -1927.10
89    LONG   2026-01-11 14:00   40159         90691.00      2026-01-11 17:00   41003        90530.77     -1602.30
90    LONG   2026-01-11 18:00   41291         91013.18      2026-01-11 22:00   42453        91807.78     +7946.00
91    LONG   2026-01-11 23:00   42746         92171.91      2026-01-12 00:00   43040        92112.02     -598.90
92    LONG   2026-01-12 01:00   43349         91834.47      2026-01-12 02:00   43631        91417.64     -4168.30
93    LONG   2026-01-12 02:00   43645         91417.64      2026-01-12 03:00   43928        90761.00     -6566.40
94    LONG   2026-01-12 03:00   43942         90761.00      2026-01-12 04:00   44226        90690.58     -704.20
95    LONG   2026-01-12 04:00   44240         90690.58      2026-01-12 05:00   44525        90438.97     -2516.10
96    LONG   2026-01-12 05:00   44539         90438.97      2026-01-12 08:00   45428        90633.88     +1949.10
97    LONG   2026-01-12 09:00   45731         90905.13      2026-01-12 12:00   46646        91512.32     +6071.90
98    LONG   2026-01-12 13:00   46953         91690.00      2026-01-12 15:00   47570        91489.82     -2001.80
99    LONG   2026-01-12 16:00   47894         91048.61      2026-01-12 18:00   48503        91296.15     +2475.40
100   LONG   2026-01-12 18:00   48517         91296.15      2026-01-12 20:00   49130        91186.57     -1095.80
101   LONG   2026-01-12 21:00   49459         91126.89      2026-01-13 02:00   51035        91944.00     +8171.10
102   LONG   2026-01-13 03:00   51356         92167.70      2026-01-13 05:00   52001        92135.96     -317.40
103   LONG   2026-01-13 06:00   52339         92002.13      2026-01-13 08:00   52976        92075.10     +729.70
104   LONG   2026-01-13 09:00   53303         92456.30      2026-01-13 11:00   53960        93373.49     +9171.90
105   LONG   2026-01-13 12:00   54304         93221.33      2026-01-13 16:00   55620        94065.05     +8437.20
106   LONG   2026-01-13 17:00   55955         95743.23      2026-01-13 18:00   56291        95396.16     -3470.70
107   LONG   2026-01-13 19:00   56642         95219.88      2026-01-13 23:00   57986        95234.78     +149.00
108   LONG   2026-01-14 00:00   58342         95002.05      2026-01-14 03:00   59360        94902.88     -991.70
109   LONG   2026-01-14 04:00   59706         95091.31      2026-01-14 06:00   60401        94798.71     -2926.00
110   LONG   2026-01-14 07:00   60750         95084.63      2026-01-14 08:00   61100        95003.80     -808.30
111   LONG   2026-01-14 09:00   61451         96481.05      2026-01-14 12:00   62510        96944.60     +4635.50
112   LONG   2026-01-14 13:00   62879         96801.76      2026-01-14 16:00   63936        97549.99     +7482.30
113   LONG   2026-01-14 17:00   64309         96875.70      2026-01-14 19:00   65016        96649.48     -2262.20
114   LONG   2026-01-14 20:00   65392         96448.03      2026-01-14 21:00   65741        96330.62     -1174.10
115   LONG   2026-01-14 21:00   65755         96330.62      2026-01-14 22:00   66105        95977.39     -3532.30
116   LONG   2026-01-14 22:00   66119         95977.39      2026-01-15 01:00   67203        96244.30     +2669.10
117   LONG   2026-01-15 02:00   67571         96639.98      2026-01-15 05:00   68681        96799.99     +1600.10
118   LONG   2026-01-15 06:00   69067         96595.48      2026-01-15 08:00   69800        96855.62     +2601.40
119   LONG   2026-01-15 09:00   70189         96074.09      2026-01-15 11:00   70928        96726.10     +6520.10
120   LONG   2026-01-15 13:00   71699         95843.75      2026-01-15 14:00   72065        95522.55     -3212.00
121   LONG   2026-01-15 14:00   72079         95522.55      2026-01-15 15:00   72446        95264.64     -2579.10
122   LONG   2026-01-15 15:00   72460         95264.64      2026-01-15 17:00   73211        95585.09     +3204.50
123   LONG   2026-01-15 18:00   73609         95611.37      2026-01-15 20:00   74366        95667.01     +556.40
124   LONG   2026-01-15 20:00   74380         95667.01      2026-01-15 21:00   74753        95511.13     -1558.80
125   LONG   2026-01-15 22:00   75155         95360.61      2026-01-15 23:00   75530        95276.92     -836.90
126   LONG   2026-01-15 23:00   75544         95276.92      2026-01-16 02:00   76703        95655.57     +3786.50
127   LONG   2026-01-16 03:00   77096         95676.00      2026-01-16 04:00   77490        95617.01     -589.90
128   LONG   2026-01-16 05:00   77899         95322.52      2026-01-16 08:00   79076        95453.00     +1304.80
129   LONG   2026-01-16 09:00   79489         95191.18      2026-01-16 10:00   79875        94589.90     -6012.80
130   LONG   2026-01-16 10:00   79889         94589.90      2026-01-16 13:00   81081        95010.01     +4201.10
131   LONG   2026-01-16 14:00   81499         95006.09      2026-01-16 16:00   82296        95519.99     +5139.00
132   LONG   2026-01-16 17:00   82717         95515.75      2026-01-16 19:00   83520        95466.35     -494.00
133   LONG   2026-01-16 20:00   83944         95395.97      2026-01-16 21:00   84341        95364.01     -319.60
134   LONG   2026-01-16 21:00   84355         95364.01      2026-01-16 23:00   85166        95309.36     -546.50
135   LONG   2026-01-17 00:00   85580         95319.77      2026-01-17 01:00   85995        95236.34     -834.30
136   LONG   2026-01-17 02:00   86425         95101.56      2026-01-17 05:00   87665        95119.44     +178.80
137   LONG   2026-01-17 06:00   88085         95319.54      2026-01-17 07:00   88506        95252.35     -671.90
138   LONG   2026-01-17 08:00   88928         95440.51      2026-01-17 11:00   90200        95309.63     -1308.80
139   LONG   2026-01-17 12:00   90640         95360.00      2026-01-17 14:00   91481        95295.54     -644.60
140   LONG   2026-01-17 15:00   91910         95374.00      2026-01-17 16:00   92340        95308.09     -659.10
141   LONG   2026-01-17 17:00   92785         95170.01      2026-01-17 18:00   93203        95150.92     -190.90
142   LONG   2026-01-17 18:00   93217         95150.92      2026-01-17 19:00   93636        95116.11     -348.10
143   LONG   2026-01-17 19:00   93650         95116.11      2026-01-17 20:00   94070        94967.59     -1485.20
144   LONG   2026-01-17 20:00   94084         94967.59      2026-01-17 23:00   95378        95100.99     +1334.00
145   LONG   2026-01-18 00:00   95816         95192.38      2026-01-18 01:00   96255        95179.34     -130.40
146   LONG   2026-01-18 02:00   96709         95043.01      2026-01-18 05:00   98018        95179.57     +1365.60
147   LONG   2026-01-18 06:00   98473         95171.34      2026-01-18 07:00   98900        95113.83     -575.10
148   LONG   2026-01-18 07:00   98914         95113.83      2026-01-18 09:00   99782        94960.05     -1537.80
149   LONG   2026-01-18 10:00   100237        95114.43      2026-01-18 14:00   101987       95379.72     +2652.90
150   LONG   2026-01-18 15:00   102442        95304.19      2026-01-18 18:00   103751       93668.68     -16355.10
151   LONG   2026-01-18 19:00   104206        92711.81      2026-01-18 20:00   104633       92580.00     -1318.10
152   LONG   2026-01-18 20:00   104647        92580.00      2026-01-18 21:00   105074       92564.39     -156.10
153   LONG   2026-01-18 21:00   105088        92564.39      2026-01-18 23:00   105956       92660.53     +961.40
154   LONG   2026-01-19 00:00   106411        92512.68      2026-01-19 04:00   108161       93047.01     +5343.30
155   LONG   2026-01-19 05:00   108616        93064.86      2026-01-19 07:00   109484       93066.36     +15.00
156   LONG   2026-01-19 08:00   109939        93028.70      2026-01-19 09:00   110366       92816.01     -2126.90
157   LONG   2026-01-19 09:00   110380        92816.01      2026-01-19 12:00   111689       93239.75     +4237.40
158   LONG   2026-01-19 13:00   112144        93060.69      2026-01-19 16:00   113453       93011.89     -488.00
159   LONG   2026-01-19 17:00   113908        92564.04      2026-01-19 20:00   115217       92716.83     +1527.90
160   LONG   2026-01-19 21:00   115672        92552.55      2026-01-19 22:00   116099       92433.77     -1187.80
161   LONG   2026-01-19 22:00   116113        92433.77      2026-01-19 23:00   116540       92065.51     -3682.60
162   LONG   2026-01-19 23:00   116554        92065.51      2026-01-20 00:00   116981       91632.69     -4328.20
163   LONG   2026-01-20 00:00   116995        91632.69      2026-01-20 01:00   117422       90938.24     -6944.50
164   LONG   2026-01-20 01:00   117436        90938.24      2026-01-20 03:00   118304       91116.92     +1786.80
165   LONG   2026-01-20 05:00   119186        91270.66      2026-01-20 06:00   119627       91220.51     -501.50
166   LONG   2026-01-20 07:00   120082        91286.90      2026-01-20 08:00   120509       90966.85     -3200.50
167   LONG   2026-01-20 09:00   120964        90538.13      2026-01-20 11:00   121832       90172.69     -3654.40
168   LONG   2026-01-20 12:00   122287        89774.52      2026-01-20 13:00   122714       89498.01     -2765.10
169   LONG   2026-01-20 13:00   122728        89498.01      2026-01-20 16:00   124037       89480.00     -180.10
170   LONG   2026-01-20 17:00   124492        88508.99      2026-01-20 18:00   124919       88435.63     -733.60
171   LONG   2026-01-20 18:00   124933        88435.63      2026-01-21 01:00   128006       89646.23     +12106.00
172   LONG   2026-01-21 02:00   128461        89218.04      2026-01-21 03:00   128888       89197.81     -202.30
173   LONG   2026-01-21 03:00   128902        89197.81      2026-01-21 06:00   130211       88800.00     -3978.10
174   LONG   2026-01-21 07:00   130666        88737.91      2026-01-21 11:00   132416       87600.04     -11378.70
175   LONG   2026-01-21 12:00   132871        87926.01      2026-01-21 15:00   134180       90216.33     +22903.20
176   LONG   2026-01-21 16:00   134621        90244.98      2026-01-21 17:00   135062       89760.25     -4847.30
177   LONG   2026-01-21 18:00   135517        89451.98      2026-01-21 21:00   136826       89936.01     +4840.30
178   LONG   2026-01-21 22:00   137281        89892.92      2026-01-22 02:00   139031       89814.94     -779.80
179   LONG   2026-01-22 03:00   139486        89918.03      2026-01-22 06:00   140795       89944.38     +263.50
180   LONG   2026-01-22 07:00   141250        90025.00      2026-01-22 08:00   141677       89611.82     -4131.80
181   LONG   2026-01-22 09:00   142132        89097.15      2026-01-22 10:00   142559       88994.88     -1022.70
182   LONG   2026-01-22 10:00   142573        88994.88      2026-01-22 13:00   143882       89332.83     +3379.50
183   LONG   2026-01-22 14:00   144323        89775.46      2026-01-22 15:00   144764       89407.67     -3677.90
184   LONG   2026-01-22 16:00   145219        89275.01      2026-01-22 19:00   146528       89518.83     +2438.20
185   LONG   2026-01-22 20:00   146969        89932.68      2026-01-22 21:00   147410       89654.81     -2778.70
186   LONG   2026-01-22 22:00   147851        89922.00      2026-01-23 00:00   148733       89607.00     -3150.00
187   LONG   2026-01-23 01:00   149188        89501.68      2026-01-23 03:00   150056       89210.00     -2916.80
188   LONG   2026-01-23 04:00   150511        88972.09      2026-01-23 09:00   152702       89010.00     +379.10
189   LONG   2026-01-23 10:00   153143        89752.71      2026-01-23 13:00   154466       90520.00     +7672.90
190   LONG   2026-01-23 14:00   154921        89979.99      2026-01-23 15:00   155348       89495.89     -4841.00
191   LONG   2026-01-23 15:00   155362        89495.89      2026-01-23 16:00   155789       89340.45     -1554.40
192   LONG   2026-01-23 16:00   155803        89340.45      2026-01-23 18:00   156671       89594.02     +2535.70
193   LONG   2026-01-23 19:00   157126        89451.21      2026-01-24 00:00   159317       89779.40     +3281.90
194   LONG   2026-01-24 01:00   159772        89648.01      2026-01-24 02:00   160199       89613.22     -347.90
195   LONG   2026-01-24 02:00   160213        89613.22      2026-01-24 04:00   161081       89599.18     -140.40
196   LONG   2026-01-24 05:00   161522        89623.75      2026-01-24 06:00   161963       89596.00     -277.50
197   LONG   2026-01-24 07:00   162418        89534.66      2026-01-24 08:00   162845       89367.16     -1675.00
198   LONG   2026-01-24 08:00   162859        89367.16      2026-01-24 10:00   163727       89278.01     -891.50
199   LONG   2026-01-24 11:00   164182        89287.09      2026-01-24 13:00   165050       89393.16     +1060.70
200   LONG   2026-01-24 14:00   165505        89332.25      2026-01-24 16:00   166373       89387.27     +550.20
201   LONG   2026-01-24 16:00   166387        89387.27      2026-01-24 18:00   167255       89230.38     -1568.90
202   LONG   2026-01-24 19:00   167710        89310.00      2026-01-24 20:00   168137       89183.08     -1269.20
203   LONG   2026-01-24 21:00   168592        89141.00      2026-01-24 22:00   169019       88962.00     -1790.00
204   LONG   2026-01-24 22:00   169033        88962.00      2026-01-25 00:00   169901       89002.43     +404.30
205   LONG   2026-01-25 01:00   170356        88847.20      2026-01-25 02:00   170783       88663.77     -1834.30
206   LONG   2026-01-25 02:00   170797        88663.77      2026-01-25 03:00   171224       88303.01     -3607.60
207   LONG   2026-01-25 03:00   171238        88303.01      2026-01-25 06:00   172547       88572.86     +2698.50
208   LONG   2026-01-25 07:00   172988        88798.44      2026-01-25 09:00   173870       88711.19     -872.50
209   LONG   2026-01-25 10:00   174325        88451.90      2026-01-25 11:00   174752       88084.28     -3676.20
210   LONG   2026-01-25 11:00   174766        88084.28      2026-01-25 12:00   175193       87880.99     -2032.90
211   LONG   2026-01-25 12:00   175207        87880.99      2026-01-25 13:00   175634       87424.88     -4561.10
212   LONG   2026-01-25 13:00   175648        87424.88      2026-01-25 14:00   176075       86507.72     -9171.60
213   LONG   2026-01-25 14:00   176089        86507.72      2026-01-25 16:00   176957       86581.00     +732.80
214   LONG   2026-01-25 17:00   177412        86519.69      2026-01-25 21:00   179162       87558.08     +10383.90
215   LONG   2026-01-25 22:00   179617        87270.00      2026-01-26 03:00   181808       87982.58     +7125.80
216   LONG   2026-01-26 04:00   182263        87660.82      2026-01-26 06:00   183131       87850.80     +1899.80
217   LONG   2026-01-26 07:00   183586        87799.92      2026-01-26 10:00   184895       87642.35     -1575.70
218   LONG   2026-01-26 11:00   185350        87610.50      2026-01-26 14:00   186659       88012.00     +4015.00
219   LONG   2026-01-26 15:00   187114        87633.08      2026-01-26 19:00   188864       88359.81     +7267.30
220   LONG   2026-01-26 19:00   188878        88359.81      2026-01-26 22:00   190187       88779.08     +4192.70
221   LONG   2026-01-26 23:00   190642        88574.00      2026-01-27 00:00   191069       88460.00     -1140.00
222   LONG   2026-01-27 00:00   191083        88460.00      2026-01-27 01:00   191510       88324.89     -1351.10
223   LONG   2026-01-27 01:00   191524        88324.89      2026-01-27 03:00   192392       88170.01     -1548.80
224   LONG   2026-01-27 03:00   192406        88170.01      2026-01-27 04:00   192833       87887.00     -2830.10
225   LONG   2026-01-27 04:00   192847        87887.00      2026-01-27 05:00   193274       87781.20     -1058.00
226   LONG   2026-01-27 05:00   193288        87781.20      2026-01-27 07:00   194156       87977.58     +1963.80
227   LONG   2026-01-27 08:00   194611        87973.50      2026-01-27 12:00   196361       87544.20     -4293.00
228   LONG   2026-01-27 13:00   196802        88278.99      2026-01-27 16:00   198125       89076.20     +7972.10
229   LONG   2026-01-27 17:00   198566        89238.41      2026-01-27 20:00   199889       89401.72     +1633.10
230   LONG   2026-01-27 21:00   200344        89286.88      2026-01-27 22:00   200771       89122.66     -1642.20
231   LONG   2026-01-27 22:00   200785        89122.66      2026-01-27 23:00   201212       88974.61     -1480.50
232   LONG   2026-01-27 23:00   201226        88974.61      2026-01-28 02:00   202535       89141.00     +1663.90
233   LONG   2026-01-28 03:00   202990        88924.49      2026-01-28 05:00   203858       89400.00     +4755.10
234   LONG   2026-01-28 06:00   204299        90073.55      2026-01-28 07:00   204740       89997.50     -760.50
235   LONG   2026-01-28 08:00   205181        90248.69      2026-01-28 09:00   205622       89611.45     -6372.40
236   LONG   2026-01-28 10:00   206077        89482.83      2026-01-28 13:00   207386       89547.07     +642.40
237   LONG   2026-01-28 14:00   207841        89394.00      2026-01-28 15:00   208268       89139.50     -2545.00
238   LONG   2026-01-28 15:00   208282        89139.50      2026-01-28 17:00   209150       89377.69     +2381.90
239   LONG   2026-01-28 18:00   209605        89299.03      2026-01-28 19:00   210335       89148.41     -1506.20
240   LONG   2026-01-28 19:00   210349        89148.41      2026-01-28 20:00   211078       88598.01     -5504.00
241   LONG   2026-01-28 20:00   211092        88598.01      2026-01-28 21:00   211820       87902.36     -6956.50
242   LONG   2026-01-28 21:00   211834        87902.36      2026-01-29 00:00   214040       88186.72     +2843.60
243   LONG   2026-01-29 01:00   214778        88310.27      2026-01-29 03:00   216251       88059.23     -2510.40
244   LONG   2026-01-29 04:00   217000        87881.24      2026-01-29 06:00   218453       87829.34     -519.00
245   LONG   2026-01-29 07:00   219185        88109.55      2026-01-29 08:00   219916       88039.99     -695.60
246   LONG   2026-01-29 09:00   220660        87010.00      2026-01-29 10:00   221375       84935.07     -20749.30
247   LONG   2026-01-29 10:00   221389        84935.07      2026-01-29 12:00   222830       84271.39     -6636.80
248   LONG   2026-01-29 13:00   223570        83487.57      2026-01-29 19:00   227891       84199.00     +7114.30
249   LONG   2026-01-29 20:00   228624        82494.51      2026-01-29 21:00   229328       82174.56     -3199.50
250   LONG   2026-01-29 21:00   229342        82174.56      2026-01-30 00:00   231476       82912.97     +7384.10
251   LONG   2026-01-30 01:00   232204        82600.01      2026-01-30 03:00   233615       82664.92     +649.10
