ID,Side,Entry Time,Exit Time,Entry Price,Exit Price,PnL,Balance Before,Balance After,Reason
31,LONG,2026-01-17 06:00:00,2026-01-17 11:00:00,95319.54,95309.63,-48.04,1965.64,1917.61,Price (95319.54) broke High (95269.84) with Vol: 6215344
32,LONG,2026-01-17 22:00:00,2026-01-18 02:00:00,95194.56,95043.01,-189.60,1917.61,1728.01,Price (95194.56) broke High (95067.45) with Vol: 7463773
33,LONG,2026-01-18 13:00:00,2026-01-18 15:00:00,95440.00,95304.19,-173.96,1728.01,1554.05,Price (95440.00) broke High (95280.00) with Vol: 13226126
34,LONG,2026-01-18 17:00:00,2026-01-18 18:00:00,95487.89,93668.68,-1857.04,1554.05,-302.99,Price (95487.89) broke High (95434.98) with Vol: 6641228

SUMMARY STATISTICS
Initial Balance,1000.00
Final Balance,0.00
Leverage,x1.0
Commission %,0.020%
Net Profit %,-100.00%
Win Rate,38.24%
Max Drawdown,107.90%
Total Trades,34
